tree_id,name,source_prefab_name,source_prefab_index,source_prefab_path,x,y,z,rotation_y,scale_x,scale_y,scale_z,height,radius,bbox_size_x,bbox_size_y,bbox_size_z,renderer_count,collider_count
353,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,856.6206,90.4284,306.3998,232.9935,1.0000,1.0000,1.0000,23.5764,12.8566,25.7131,23.5764,25.5630,1,1
354,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,879.2014,128.3467,922.5121,65.4246,1.0000,1.0000,1.0000,23.5764,12.2252,24.4503,23.5764,24.0737,1,1
355,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,732.9883,140.6958,881.9303,350.2802,1.0000,1.0000,1.0000,22.4601,11.3667,22.7335,22.4601,18.7439,1,1
356,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,403.7047,128.1192,827.7193,318.6838,1.0000,1.0000,1.0000,20.4645,13.9985,27.7843,20.4645,27.9970,1,1
357,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,891.9146,118.4177,171.1320,309.4503,1.0000,1.0000,1.0000,22.8586,12.1997,24.0086,22.8586,24.3993,1,1
358,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,381.2994,120.3360,140.0267,295.4648,1.0000,1.0000,1.0000,22.4601,12.5485,22.7873,22.4601,25.0971,1,1
359,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,695.1281,132.0502,651.9194,100.1377,1.0000,1.0000,1.0000,22.4601,11.4097,18.8709,22.4601,22.8193,1,1
360,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,198.6355,123.9977,798.5904,326.8970,1.0000,1.0000,1.0000,22.4601,12.7854,25.5709,22.4601,24.1468,1,1
361,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,83.9052,124.5651,476.3143,210.3019,1.0000,1.0000,1.0000,23.5764,12.5897,24.9055,23.5764,25.1794,1,1
362,Tree9_4(Clone),Tree9_4,2,Assets/Tree9/Tree9_4.prefab,188.7195,124.2261,403.0704,22.5979,1.0000,1.0000,1.0000,22.4601,12.4018,24.8036,22.4601,22.1711,1,1
363,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,748.6959,109.3240,284.8732,85.0958,1.0000,1.0000,1.0000,22.8586,9.9518,17.3013,22.8586,19.9036,1,1
364,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,202.8643,137.3154,140.8012,167.6623,1.0000,1.0000,1.0000,23.5764,11.0434,21.5044,23.5764,22.0869,1,1
365,Tree9_2(Clone),Tree9_2,0,Assets/Tree9/Tree9_2.prefab,646.6080,137.2352,474.4641,90.3688,1.0000,1.0000,1.0000,22.8586,9.3625,15.8865,22.8586,18.7250,1,1
366,Tree9_5(Clone),Tree9_5,3,Assets/Tree9/Tree9_5.prefab,944.2085,120.3894,824.5857,37.4136,1.0000,1.0000,1.0000,23.5764,12.8671,25.5918,23.5764,25.7343,1,1
367,Tree9_3(Clone),Tree9_3,1,Assets/Tree9/Tree9_3.prefab,843.3009,102.8477,247.6693,100.4166,1.0000,1.0000,1.0000,20.4645,11.9748,23.9495,20.4645,22.0705,1,1
