Time(ms),Voltage(V),Current(mA),Power(mW),Mode
5771,5.05,95.50,482.08,7
5783,5.04,100.30,505.51,7
5796,5.04,107.80,542.88,7
5808,5.05,87.60,442.56,7
5821,5.04,98.80,497.95,2
5833,5.03,105.00,528.36,2
5845,5.04,104.20,524.75,2
5858,5.04,103.60,521.73,2
5870,5.04,100.10,504.50,2
5882,5.03,103.70,521.82,2
5895,5.04,103.90,523.24,2
5907,5.03,100.50,505.72,2
5920,5.04,104.80,527.77,2
5932,5.03,103.90,522.82,2
5945,5.03,103.90,522.82,2
5957,5.04,100.20,505.01,2
5969,5.03,101.30,509.74,2
5982,5.03,103.80,522.32,2
5994,5.03,104.30,524.84,2
6007,5.04,100.50,506.52,2
6019,5.04,104.60,526.77,2
6031,5.03,105.00,528.36,2
6044,5.03,104.30,524.84,2
6056,5.04,99.50,501.48,2
6069,5.04,104.60,526.77,2
6081,5.03,104.70,526.85,2
6093,5.03,105.20,529.37,2
6106,5.04,99.10,499.46,2
6118,5.03,103.90,522.82,2
6131,5.03,103.80,522.32,2
6143,5.03,104.60,526.35,2
6155,5.04,99.10,499.46,2
6168,5.03,104.20,524.33,2
6180,5.03,103.70,521.82,2
6192,5.04,99.10,499.07,2
6205,5.04,100.70,507.53,2
6217,5.03,103.90,522.82,2
6230,5.03,104.00,523.33,2
6242,5.03,100.50,505.72,2
6254,5.04,104.10,524.66,2
6267,5.04,104.10,524.25,2
6279,5.03,104.40,525.34,2
6292,5.04,99.40,500.98,2
6304,5.03,103.80,522.32,2
6316,5.03,103.80,522.32,2
6329,5.03,104.10,523.83,2
6341,5.04,99.10,499.46,2
6354,5.04,104.10,524.66,2
6366,5.03,104.10,523.83,2
6378,5.03,104.20,524.33,2
6391,5.04,98.80,497.95,2
6403,5.03,104.30,524.84,2
6416,5.04,103.80,522.74,2
6428,5.03,103.80,522.32,2
6440,5.04,100.20,505.01,2
6453,5.03,103.80,522.32,2
6465,5.03,103.90,522.82,2
6478,5.03,102.10,513.77,2
6490,5.04,99.30,500.47,2
6502,5.03,104.90,527.86,2
6515,5.04,104.10,524.25,2
6527,5.04,98.80,497.56,2
6539,5.04,99.20,499.97,2
