Time(ms),Voltage(V),Current(mA),Power(mW),Mode
3510,5.07,100.50,509.74,7
3522,5.07,101.20,513.29,7
3534,5.07,99.00,501.73,7
3547,5.08,102.10,518.26,7
3559,5.07,100.50,509.33,7
3572,5.07,101.40,513.90,7
3584,5.08,96.80,491.36,7
3596,5.07,98.40,499.08,7
3609,5.07,100.90,511.36,7
3621,5.07,101.90,516.84,7
3633,5.08,95.90,486.79,7
3646,5.08,100.70,511.15,7
3658,5.07,100.90,511.76,7
3671,5.07,100.70,510.75,7
3683,5.08,95.70,485.77,7
3695,5.07,101.10,512.78,7
3708,5.07,101.10,512.78,7
3720,5.07,100.60,510.24,7
3733,5.08,97.00,492.37,7
3745,5.07,100.50,509.74,7
3757,5.07,100.90,511.76,7
3770,5.07,100.60,510.24,7
3782,5.08,95.90,486.79,7
3794,5.07,100.80,511.26,7
3807,5.07,100.80,511.26,7
3819,5.07,96.00,486.53,7
3832,5.08,96.10,487.80,7
3844,5.07,101.30,513.39,7
3856,5.07,101.80,516.33,7
3869,5.07,100.80,511.26,7
3881,5.08,99.10,503.03,7
3893,5.07,100.70,510.75,7
3906,5.07,101.00,512.27,7
3918,5.07,96.00,486.91,7
3931,5.07,100.50,509.74,7
3943,5.07,100.90,511.76,7
3955,5.07,100.90,511.76,7
3968,5.08,95.80,486.66,7
3980,5.07,102.10,517.44,7
3993,5.07,101.20,513.29,7
4005,5.07,101.80,516.33,7
4017,5.07,96.70,490.46,7
4030,5.08,100.90,512.17,7
4042,5.07,102.00,517.34,7
4055,5.07,101.00,512.27,7
4067,5.08,96.90,491.86,7
4079,5.07,100.80,511.26,7
4092,5.07,102.70,520.48,7
4104,5.07,101.60,515.32,7
4117,5.07,96.60,489.96,7
4129,5.08,101.40,514.71,7
4141,5.07,101.00,512.27,7
4154,5.07,99.60,505.17,7
4166,5.08,96.20,488.31,7
4178,5.07,100.50,509.74,7
4191,5.07,101.10,512.78,7
4203,5.07,95.90,486.40,7
4216,5.07,99.20,503.14,7
4228,5.07,100.30,508.32,7
4240,5.07,102.10,517.85,7
4253,5.08,98.90,502.41,7
4265,5.08,100.10,508.11,7
4277,5.07,100.20,507.81,7
4290,5.07,101.90,516.84,7
4302,5.07,95.80,485.90,7
4315,5.07,100.70,510.35,7
4327,5.07,101.90,516.84,7
4339,5.07,101.00,512.27,7
4352,5.07,95.90,486.40,7
4364,5.07,101.00,512.27,7
4377,5.07,101.10,512.78,7
4389,5.07,101.60,515.32,7
4401,5.08,96.00,487.30,7
4414,5.07,102.00,517.34,7
4426,5.07,100.90,511.76,7
4439,5.07,97.70,495.53,7
4451,5.08,97.30,493.89,7
4463,5.07,100.80,511.26,7
4476,5.07,101.00,512.27,7
4488,5.07,101.00,511.87,7
4501,5.08,96.40,489.33,7
4513,5.07,100.80,511.26,7
4525,5.07,100.70,510.75,7
4538,5.07,97.90,496.55,7
4550,5.08,101.20,513.69,7
4562,5.07,102.10,517.44,7
4575,5.07,102.60,520.39,7
4587,5.08,96.70,490.85,7
4600,5.08,96.40,489.33,7
4612,5.07,100.80,511.26,7
4624,5.07,101.50,514.81,7
4637,5.08,97.20,493.39,7
4649,5.08,100.70,511.15,7
4661,5.07,101.10,512.78,7
4674,5.07,101.10,512.37,7
4686,5.08,95.90,486.79,7
4699,5.07,101.50,514.40,7
4711,5.07,101.00,511.87,7
4723,5.08,100.80,511.66,7
4736,5.08,99.80,506.58,7
4748,5.07,101.50,514.81,7
4761,5.07,101.20,513.29,7
4773,5.07,101.20,513.29,7
4786,5.07,96.10,487.42,7
4798,5.07,100.90,511.76,7
4810,5.07,100.90,511.76,7
4823,5.07,96.70,490.08,7
4835,5.08,96.50,490.22,7
4847,5.07,100.90,511.76,7
