Time(ms),Voltage(V),Current(mA),Power(mW),Mode
8400,5.17,-0.30,-1.55,1
8412,5.17,0.00,0.00,1
8424,5.17,0.00,0.00,1
8436,5.17,-0.20,-1.03,1
8448,5.17,-0.30,-1.55,1
8460,5.17,-0.10,-0.52,1
8472,5.17,-0.40,-2.07,1
8484,5.17,0.00,0.00,1
8496,5.17,-0.40,-2.07,1
8508,5.17,-0.10,-0.52,1
8520,5.17,-0.30,-1.55,1
8532,5.17,-0.30,-1.55,1
8544,5.17,-0.50,-2.58,1
8556,5.17,-0.10,-0.52,1
8568,5.17,-0.20,-1.03,1
8580,5.17,-0.30,-1.55,1
8592,5.17,-0.20,-1.03,1
8604,5.17,-0.40,-2.07,1
8616,5.17,-0.10,-0.52,1
8628,5.17,-0.30,-1.55,1
8640,5.17,-0.30,-1.55,1
8652,5.17,-0.40,-2.07,1
8664,5.17,-0.40,-2.07,1
8676,5.17,-0.40,-2.07,1
8688,5.17,-0.10,-0.52,1
8700,5.17,-0.30,-1.55,1
8712,5.17,-0.40,-2.07,1
8724,5.17,-0.10,-0.52,1
8736,5.17,-0.30,-1.55,1
8748,5.17,-0.20,-1.03,1
8760,5.17,-0.40,-2.07,1
8772,5.17,-0.20,-1.03,1
8784,5.17,-0.20,-1.03,1
8796,5.17,-0.40,-2.07,1
8808,5.17,-0.10,-0.52,1
8820,5.17,-0.20,-1.03,1
8832,5.17,-0.20,-1.03,1
8845,5.17,-0.40,-2.07,1
8857,5.17,0.00,0.00,1
8869,5.17,-0.30,-1.55,1
8881,5.17,-0.30,-1.55,1
8893,5.17,-0.40,-2.07,1
8905,5.17,-0.20,-1.03,1
8917,5.17,-0.30,-1.55,1
8929,5.17,-0.50,-2.58,1
8941,5.17,-0.40,-2.07,1
8953,5.17,-0.20,-1.03,1
8965,5.17,-0.10,-0.52,1
8977,5.17,-0.30,-1.55,1
8989,5.17,0.00,0.00,1
9001,5.17,-0.70,-3.62,1
9013,5.17,-0.10,-0.52,1
9025,5.17,-0.10,-0.52,1
9037,5.17,-0.10,-0.52,1
9049,5.17,-0.60,-3.10,1
9061,5.17,-0.30,-1.55,1
9073,5.17,-0.30,-1.55,1
9085,5.17,-0.20,-1.03,1
9097,5.17,-0.20,-1.03,1
9109,5.17,-0.40,-2.07,1
9121,5.17,-0.30,-1.55,1
9133,5.17,-0.30,-1.55,1
9145,5.17,-0.10,-0.52,1
9157,5.17,-0.50,-2.58,1
9169,5.17,-0.20,-1.03,1
9181,5.17,-0.30,-1.55,1
9193,5.17,-0.30,-1.55,1
9205,5.17,-0.20,-1.03,1
9217,5.17,-0.30,-1.55,1
9229,5.17,-0.30,-1.55,1
9241,5.17,0.10,0.52,1
9253,5.17,-0.30,-1.55,1
9265,5.17,-0.10,-0.52,1
9277,5.17,-0.20,-1.03,1
9289,5.17,-0.20,-1.03,1
9301,5.17,-0.30,-1.55,1
9313,5.17,-0.40,-2.07,1
9325,5.17,-0.50,-2.59,1
9337,5.17,-0.10,-0.52,1
9350,5.17,-0.10,-0.52,1
9362,5.17,-0.30,-1.55,1
9374,5.17,-0.30,-1.55,1
9386,5.17,-0.40,-2.07,1
9398,5.17,-0.20,-1.03,1
9410,5.17,-0.40,-2.07,1
9422,5.17,-0.10,-0.52,1
9434,5.17,-0.60,-3.10,1
9446,5.17,-0.20,-1.03,1
9458,5.17,-0.30,-1.55,1
9470,5.17,-0.10,-0.52,1
9482,5.17,-0.20,-1.03,1
9494,5.17,-0.40,-2.07,1
9506,5.17,-0.40,-2.07,1
9518,5.17,-0.20,-1.03,1
9530,5.17,-0.40,-2.07,1
9542,5.17,-0.40,-2.07,1
9554,5.17,-0.60,-3.10,1
9566,5.17,-0.30,-1.55,1
9578,5.17,-0.20,-1.03,1
9590,5.17,-0.40,-2.07,1
9602,5.17,-0.30,-1.55,1
9614,5.17,-0.20,-1.03,1
9626,5.17,-0.30,-1.55,1
9638,5.17,-0.10,-0.52,1
